"entidad_federativa","municipio","anio","tipo_contaminante","nombre_contaminante","numero_sitios"
"Veracruz","Minatitlán","2020","Hidrocarburos, fracción ligera","Gasolina","1"
"Veracruz","Minatitlán","2024","Hidrocarburos, más de una fracción","Más de un combustible o producto","2"
"Veracruz","Moloacán","2024","Hidrocarburos, fracción ligera","Gasolina","1"
"Veracruz","Oluta","2018","Hidrocarburos, fracción media","Turbosina","1"
"Veracruz","Ozuluama de Mascareñas","2024","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Pánuco","2023","Hidrocarburos, más de una fracción","Petróleo crudo","1"
"Veracruz","Papantla","2016","Hidrocarburos, fracción pesada","Petróleo crudo","2"
"Veracruz","Papantla","2019","Hidrocarburos, fracción ligera","Gasolina","1"
"Veracruz","Papantla","2021","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Papantla","2023","Hidrocarburos, más de una fracción","Petróleo crudo","1"
"Veracruz","Las Vigas de Ramírez","2023","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Tampico Alto","2024","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Castillo de Teayo","2016","Hidrocarburos, fracción pesada","Petróleo crudo","1"
"Veracruz","Castillo de Teayo","2022","Hidrocarburos, fracción pesada","Petróleo crudo","1"
"Veracruz","Castillo de Teayo","2024","Hidrocarburos, fracción pesada","Aceites, grasas","1"
"Veracruz","Tierra Blanca","2018","Hidrocarburos, fracción media","Turbosina","1"
"Veracruz","Tihuatlán","2016","Hidrocarburos, fracción pesada","Petróleo crudo","1"
"Veracruz","Tihuatlán","2024","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Tuxpan","2021","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Veracruz","2021","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Veracruz","2022","Hidrocarburos, fracción ligera","Gasolina","1"
"Veracruz","Veracruz","2023","Hidrocarburos, fracción ligera","Gasolina","1"
"Veracruz","Veracruz","2024","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Agua Dulce","2018","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Agua Dulce","2022","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Agua Dulce","2023","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Nanchital de Lázaro Cárdenas del Río","2016","Hidrocarburos, fracción media","Turbosina","1"
"Veracruz","Nanchital de Lázaro Cárdenas del Río","2018","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Nanchital de Lázaro Cárdenas del Río","2019","Hidrocarburos, fracción media","Diésel","2"
"Veracruz","Nanchital de Lázaro Cárdenas del Río","2020","Hidrocarburos, fracción media","Diésel","1"
"Veracruz","Nanchital de Lázaro Cárdenas del Río","2024","Hidrocarburos, fracción ligera","Gasolina","1"
"Veracruz","Varios","2016","Hidrocarburos, fracción ligera","Gasolina","1"
"Yucatán","Acanceh","2018","Hidrocarburos, fracción media","Turbosina","1"
"Yucatán","Chemax","2017","Hidrocarburos, fracción ligera","Gasolina","1"
"Yucatán","Hoctún","2022","Hidrocarburos, fracción media","Turbosina","1"
"Yucatán","Kantunil","2020","Hidrocarburos, fracción media","Diésel","1"
"Yucatán","Kantunil","2024","Hidrocarburos, fracción media","Diésel","1"
"Yucatán","Mérida","2018","Hidrocarburos, fracción media","Turbosina","1"
"Yucatán","Seyé","2019","Hidrocarburos, fracción ligera","Gasolina","1"
"Yucatán","Tahmek","2019","Hidrocarburos, fracción media","Diésel","1"
"Yucatán","Tahmek","2021","Hidrocarburos, fracción media","Diésel","1"
"Yucatán","Tizimín","2016","Hidrocarburos, fracción media","Diésel","1"
"Yucatán","Valladolid","2016","Hidrocarburos, fracción media","Diésel","1"
"Yucatán","Valladolid","2018","Hidrocarburos, fracción media","Turbosina","1"
"Yucatán","Valladolid","2019","Hidrocarburos, fracción media","Turbosina","1"
"Zacatecas","Concepción del Oro","2017","Hidrocarburos, fracción ligera","Gasolina","1"
"Zacatecas","Concepción del Oro","2021","Hidrocarburos, fracción media","Diésel","2"
"Zacatecas","Concepción del Oro","2023","Hidrocarburos, fracción media","Diésel","2"
"Zacatecas","Fresnillo","2021","Hidrocarburos, fracción media","Diésel","1"
"Zacatecas","Mazapil","2016","Hidrocarburos, fracción media","Diésel","1"
"Zacatecas","Morelos","2022","Hidrocarburos, fracción media","Diésel","1"
"Zacatecas","Morelos","2024","Hidrocarburos, fracción media","Diésel","1"
"Zacatecas","Río Grande","2017","Hidrocarburos, fracción pesada","Combustóleo","1"
"Zacatecas","Sain Alto","2023","Hidrocarburos, más de una fracción","Más de un combustible o producto","1"
"Zacatecas","Vetagrande","2023","Hidrocarburos, fracción ligera","Gasolina","1"
"Zacatecas","Villa de Cos","2019","Hidrocarburos, fracción media","Diésel","2"
"Zacatecas","Villa de Cos","2020","Hidrocarburos, fracción media","Diésel","2"
"Zacatecas","Villa de Cos","2021","Hidrocarburos, fracción ligera","Gasolina","1"
"Zacatecas","Villa de Cos","2024","Hidrocarburos, fracción ligera","Gasolina","1"
